"Missing Age","State"
"83 Years","GA"
"36 Years","GA"
"17 Years","NY"
"37 Years","GA"
"80 Years","TN"
"29 Years","NY"
"29 Years","SC"
"35 Years","GA"
"17 Years","TN"
"52 Years","TN"
"49 Years","OH"
"36 Years","AL"
"29 Years","NC"
"62 Years","NY"
"17 Years","NC"
"22 Years","TN"
"28 Years","NY"
"31 Years","NC"
"15 Years","VA"
"43 Years","TN"
"26 Years","TN"
"31 Years","GA"
"37 Years","AL"
"63 Years","AL"
"13 Years","TN"
"23 Years","AL"
"17 Years","TN"
"34 Years","KY"
"40 Years","WV"
"27 Years","OH"
"48 Years","KY"
"52 Years","NY"
"33 Years","MS"
"60 Years","TN"
"5 Years","TN"
"51 Years","GA"
"68 Years","VA"
"48 Years","NY"
"32 Years","TN"
"70 Years","NY"
"2 Years","NC"
"58 Years","NC"
"3 Years","NC"
"30 Years","MS"
"52 Years","PA"
"33 Years","AL"
"16 Years","KY"
"15 Years","TN"
"16 Years","KY"
"23 Years","NC"
"33 Years","NC"
"55 Years","GA"
"61 Years","MS"
"52 Years","TN"
"41 Years","TN"
"47 Years","AL"
"16 Years","SC"
"53 Years","SC"
"27 Years","OH"
"44 - 45 Years","TN"
"32 Years","TN"
"25 Years","TN"
"33 Years","KY"
"35 Years","MD"
"72 Years","PA"
"19 Years","NY"
"31 Years","NY"
"51 Years","WV"
"36 Years","NC"
"52 Years","TN"
"33 Years","NY"
"59 Years","KY"
"50 Years","OH"
"16 Years","MD"
"16 Years","NC"
"27 Years","NC"
"51 Years","TN"
"45 Years","TN"
"35 Years","NC"
"33 Years","AL"
"38 Years","KY"
"< 1 Year","TN"
"16 Years","TN"
"49 Years","GA"
"16 Years","TN"
"24 Years","WV"
"15 Years","TN"
"17 Years","TN"
"76 Years","VA"
"30 Years","MD"
"30 Years","TN"
"35 Years","GA"
"56 Years","KY"
"36 Years","TN"
"36 Years","NC"
"6 Years","OH"
"39 Years","WV"
"70 Years","NC"
"16 Years","TN"
"53 Years","MS"
"53 Years","PA"
"31 Years","AL"
"30 Years","NY"
"33 Years","NY"
"20 Years","KY"
"49 Years","TN"
"26 Years","VA"
"17 Years","NC"
"28 Years","AL"
"46 Years","TN"
"22 Years","NY"
"33 Years","GA"
"77 Years","NY"
"61 Years","PA"
"58 Years","TN"
"35 Years","PA"
"44 Years","NY"
"64 Years","NY"
"53 Years","VA"
"31 Years","KY"
"24 Years","NY"
"38 Years","TN"
"3 Years","VA"
"47 Years","GA"
"58 Years","NY"
"29 Years","OH"
"28 Years","MS"
"33 Years","MS"
"56 Years","NC"
"23 Years","GA"
"16 Years","TN"
"60 Years","NY"
"18 Years","SC"
"24 Years","GA"
"22 Years","TN"
"44 Years","GA"
"38 Years","NY"
"72 Years","NC"
"< 1 Year","NC"
"26 Years","GA"
"21 Years","SC"
"36 Years","OH"
"33 Years","MS"
"31 Years","PA"
"31 Years","NY"
"29 Years","MS"
"31 Years","AL"
"3 Years","OH"
"29 Years","MS"
"20 Years","NY"
"16 Years","SC"
"29 Years","TN"
"55 Years","NC"
"45 Years","SC"
"16 Years","TN"
"48 Years","VA"
"31 Years","KY"
"44 Years","GA"
"41 Years","NY"
"17 Years","TN"
"54 Years","TN"
"17 Years","NY"
"28 Years","NY"
"31 Years","MD"
"26 Years","GA"
"27 Years","MS"
"59 Years","GA"
"80 Years","NY"
"16 Years","NY"
"21 Years","NY"
"38 Years","KY"
"41 Years","NC"
"44 Years","GA"
"31 Years","MD"
"49 Years","KY"
"53 Years","GA"
"22 Years","SC"
"34 Years","NC"
"48 Years","NY"
"57 Years","KY"
"26 Years","GA"
"19 Years","SC"
"70 Years","PA"
"14 - 15 Years","AL"
"14 Years","NY"
"40 Years","GA"
"16 Years","NC"
"57 Years","TN"
"78 Years","WV"
"35 Years","NC"
"32 Years","GA"
"37 Years","GA"
"38 Years","NY"
"43 Years","NY"
"66 Years","PA"
"57 Years","GA"
"17 Years","TN"
"39 Years","WV"
"40 Years","TN"
"40 Years","SC"
"24 Years","NY"
"33 Years","MS"
"47 Years","VA"
"41 Years","OH"
"32 Years","KY"
"27 Years","OH"
"18 Years","MS"
"17 Years","TN"
"34 Years","TN"
"64 Years","MD"
"15 Years","KY"
"37 Years","NC"
"52 Years","AL"
"16 Years","NY"
"45 Years","GA"
"48 Years","NY"
"18 Years","MS"
"38 Years","PA"
"58 Years","WV"
"67 Years","TN"
"31 Years","NC"
"44 Years","VA"
"16 Years","NC"
"4 Years","TN"
"29 Years","NY"
"54 Years","TN"
"36 Years","OH"
"48 Years","NC"
"32 Years","WV"
"32 Years","TN"
"57 Years","GA"
"18 Years","PA"
"44 Years","TN"
"24 Years","NC"
"39 Years","MS"
"28 Years","MD"
"58 Years","GA"
"42 Years","OH"
"38 Years","NY"
"27 Years","TN"
"40 Years","SC"
"51 Years","NC"
"17 Years","MS"
"28 Years","VA"
"67 Years","SC"
"32 Years","MD"
"40 Years","OH"
"17 Years","TN"
"81 Years","AL"
"52 Years","KY"
"30 Years","AL"
"85 Years","PA"
"41 Years","AL"
"34 Years","MS"
"38 Years","TN"
"59 Years","NC"
"16 Years","MS"
"17 Years","TN"
"45 Years","KY"
"14 Years","NY"
"27 Years","MS"
"18 Years","VA"
"62 Years","TN"
"29 Years","GA"
"14 Years","TN"
"17 Years","TN"
"16 Years","TN"
"59 Years","PA"
"21 Years","NC"
"18 Years","OH"
"42 Years","SC"
"48 Years","PA"
"39 Years","NC"
"64 Years","GA"
"54 Years","NY"
"58 Years","TN"
"47 Years","NY"
"36 Years","VA"
"21 Years","NY"
"34 Years","NY"
"25 Years","GA"
"27 Years","SC"
"50 Years","MD"
"14 Years","GA"
"36 Years","OH"
"50 Years","OH"
"15 Years","GA"
"33 Years","KY"
"43 Years","GA"
"14 Years","KY"
"19 Years","PA"
"59 Years","NY"
"17 Years","TN"
"47 Years","PA"
"29 Years","NC"
"3 Years","NC"
"52 Years","KY"
"28 Years","SC"
"37 Years","NY"
"38 Years","TN"
"14 Years","TN"
"17 Years","TN"
"67 Years","PA"
"42 Years","TN"
"17 Years","TN"
"61 Years","MD"
"15 Years","TN"
"15 Years","TN"
"16 Years","NY"
"16 Years","NY"
"31 Years","MD"
"36 Years","MS"
"51 Years","SC"
"48 Years","OH"
"29 Years","NC"
"21 Years","NY"
"34 Years","TN"
"16 Years","NY"
"14 Years","NY"
"32 Years","MD"
"21 Years","GA"
"24 Years","TN"
"37 Years","KY"
"40 Years","GA"
"67 Years","NY"
"55 Years","TN"
"52 Years","WV"
"15 Years","TN"
"37 Years","SC"
"83 Years","NC"
"50 Years","GA"
"69 Years","NY"
"16 Years","GA"
"37 Years","TN"
"65 Years","PA"
"50 Years","MD"
"16 Years","NC"
"36 Years","OH"
"55 Years","SC"
"32 Years","MS"
"20 Years","GA"
"14 Years","GA"
"39 Years","PA"
"46 Years","SC"
"37 Years","MS"
"22 Years","GA"
"35 Years","KY"
"65 Years","AL"
"20 Years","TN"
"49 Years","TN"
"53 Years","NY"
"59 Years","NC"
"47 Years","NY"
"22 Years","PA"
"43 Years","GA"
"17 Years","TN"
"36 Years","MS"
"58 Years","SC"
"17 Years","TN"
"26 Years","OH"
"15 Years","NY"
"36 Years","GA"
"15 Years","NC"
"17 Years","TN"
"61 Years","TN"
"21 Years","NC"
"43 Years","TN"
"35 Years","TN"
"47 Years","SC"
"17 Years","TN"
"34 Years","NY"
"51 Years","SC"
"37 Years","TN"
"26 Years","AL"
"25 Years","NC"
"63 Years","NY"
"32 Years","SC"
"39 Years","NC"
"34 Years","NC"
"15 Years","TN"
"57 Years","TN"
"33 Years","OH"
"57 Years","TN"
"17 Years","TN"
"14 Years","TN"
"16 Years","KY"
"75 Years","NC"
"44 Years","NC"
"34 Years","MD"
"34 Years","GA"
"5 Years","TN"
"35 Years","TN"
"12 Years","TN"
"36 Years","NY"
"52 Years","NC"
"35 Years","NC"
"48 Years","NC"
"78 Years","AL"
"58 Years","NY"
"17 Years","NY"
"64 Years","TN"
"77 Years","NY"
"72 Years","NY"
"36 Years","WV"
"76 Years","PA"
"42 Years","GA"
"60 Years","NY"
"23 Years","GA"
"88 Years","VA"
"55 - 65 Years","VA"
"42 Years","KY"
"38 Years","PA"
"14 Years","TN"
"30 Years","AL"
"30 Years","KY"
"39 Years","AL"
"36 Years","SC"
"44 Years","NC"
"34 Years","OH"
"16 Years","TN"
"25 Years","OH"
"36 Years","TN"
"30 Years","NC"
"19 Years","MS"
"77 Years","NY"
"17 Years","NY"
"60 Years","OH"
"77 Years","GA"
"51 Years","NY"
"44 Years","NY"
"35 Years","TN"
"32 Years","KY"
"40 Years","AL"
"16 Years","TN"
"14 Years","NY"
"27 Years","NY"
"53 Years","TN"
"32 Years","NY"
"30 Years","PA"
"37 Years","NC"
"28 Years","WV"
"16 Years","NY"
"< 1 Year","NY"
"37 Years","KY"
"26 Years","MS"
"52 Years","TN"
"15 Years","TN"
"15 Years","TN"
"34 Years","VA"
"23 Years","OH"
"17 Years","NC"
"54 Years","NC"
"31 Years","NY"
"27 Years","MS"
"17 Years","VA"
"27 Years","PA"
"16 Years","NY"
"16 Years","NY"
"47 Years","MS"
"31 Years","OH"
"14 Years","NY"
"28 Years","TN"
"26 Years","NY"
"< 1 Year","NY"
"17 Years","TN"
"79 Years","TN"
"32 Years","GA"
"58 Years","MS"
"31 Years","TN"
"23 Years","TN"
"16 Years","NY"
"49 Years","GA"
"44 Years","NY"
"55 Years","MS"
"39 Years","GA"
"47 Years","AL"
"34 Years","TN"
"79 Years","GA"
"22 Years","NC"
"17 Years","NY"
"56 Years","PA"
"68 Years","MS"
"55 Years","PA"
"40 Years","AL"
"51 Years","NY"
"22 Years","TN"
"52 Years","SC"
"41 Years","MD"
"39 Years","TN"
"17 Years","KY"
"17 Years","TN"
"24 Years","NY"
"31 Years","AL"
"41 Years","TN"
"38 Years","MD"
"36 Years","SC"
"32 Years","NY"
"23 Years","NY"
"27 Years","OH"
"71 Years","PA"
"40 Years","TN"
"65 Years","NC"
"38 Years","GA"
"40 Years","PA"
"43 Years","GA"
"56 Years","GA"
"22 Years","OH"
"38 Years","GA"
"17 Years","TN"
"44 Years","VA"
"40 Years","PA"
"16 Years","TN"
"21 Years","OH"
"33 Years","NY"
"56 Years","TN"
"41 Years","NY"
"49 Years","NC"
"22 Years","NC"
"38 Years","TN"
"33 Years","TN"
"17 Years","GA"
"39 Years","TN"
"22 Years","KY"
"17 Years","TN"
"51 Years","NC"
"32 Years","NY"
"34 Years","TN"
"38 Years","OH"
"43 Years","NY"
"15 Years","TN"
"17 Years","TN"
"17 Years","TN"
"50 Years","NC"
"48 Years","AL"
"32 Years","NY"
"28 Years","MD"
"27 Years","SC"
"53 Years","TN"
"50 Years","NY"
"29 Years","OH"
"37 Years","TN"
"17 Years","TN"
"81 Years","MS"
"42 Years","OH"
"24 Years","GA"
"68 Years","TN"
"26 Years","MD"
"31 Years","NY"
"14 Years","NY"
"37 Years","TN"
"64 Years","VA"
"44 Years","OH"
"16 Years","PA"
"26 Years","SC"
"34 Years","SC"
"28 Years","WV"
"36 Years","AL"
"51 Years","WV"
"85 Years","TN"
"36 Years","SC"
"36 Years","KY"
"29 Years","NC"
"59 Years","SC"
"60 Years","NY"
"44 Years","NY"
"56 Years","GA"
"16 Years","PA"
"31 Years","OH"
"31 Years","PA"
"41 Years","WV"
"45 Years","SC"
"41 Years","TN"
"62 Years","TN"
"38 Years","NY"
"65 Years","AL"
"40 Years","NY"
"59 Years","OH"
"44 Years","PA"
"44 Years","TN"
"38 Years","NC"
"46 Years","AL"
"31 Years","NY"
"25 Years","SC"
"22 Years","KY"
"23 Years","NY"
"32 Years","PA"
"26 Years","PA"
"55 Years","GA"
"29 Years","TN"
"20 Years","AL"
"31 Years","NY"
"51 Years","NY"
"26 Years","OH"
"25 Years","PA"
"23 Years","PA"
"24 Years","PA"
"38 Years","NC"
"30 Years","PA"
"25 Years","TN"
"47 Years","TN"
"34 Years","TN"
"42 Years","PA"
"45 Years","VA"
"70 Years","OH"
"41 Years","PA"
"62 Years","PA"
"45 Years","PA"
"23 Years","MS"
"17 Years","TN"
"17 Years","TN"
"25 Years","KY"
"58 Years","SC"
"17 Years","TN"
"46 Years","NC"
"36 Years","NC"
"27 Years","TN"
"25 Years","NC"
"34 Years","TN"
"36 Years","NY"
"45 Years","MD"
"36 Years","VA"
"51 Years","TN"
"37 Years","NY"
"38 Years","AL"
"58 Years","VA"
"86 Years","AL"
"15 Years","TN"
"17 Years","PA"
"64 Years","PA"
"54 Years","OH"
"19 Years","TN"
"25 Years","NY"
"29 Years","KY"
"16 Years","PA"
"46 Years","VA"
"45 Years","WV"
"< 1 Year","VA"
"17 Years","NY"
"43 Years","NY"
"75 Years","AL"
"62 Years","KY"
"60 Years","TN"
"65 Years","OH"
"55 Years","TN"
"17 Years","TN"
"46 Years","NC"
"15 Years","TN"
"39 Years","TN"
"48 Years","SC"
"25 Years","NC"
"14 Years","PA"
"34 Years","WV"
"16 Years","KY"
"50 Years","PA"
"43 Years","SC"
"45 Years","SC"
"50 Years","TN"
"59 Years","AL"
"15 Years","NY"
"16 Years","VA"
"16 Years","TN"
"32 Years","MS"
"29 Years","TN"
"53 Years","PA"
"37 Years","AL"
"73 Years","TN"
"51 Years","GA"
"42 Years","KY"
"64 Years","TN"
"48 Years","PA"
"29 Years","KY"
"26 Years","NY"
"51 Years","NC"
"52 Years","GA"
"35 Years","PA"
"26 Years","NY"
"17 Years","TN"
"46 Years","MS"
"39 Years","VA"
"27 Years","PA"
"6 Years","NY"
"24 Years","GA"
"25 Years","KY"
"15 Years","TN"
"48 Years","TN"
"39 Years","NY"
"60 Years","MD"
"45 Years","TN"
"16 Years","TN"
"38 Years","KY"
"33 Years","TN"
"63 Years","NY"
"42 Years","TN"
"25 Years","PA"
"59 Years","PA"
"28 Years","GA"
"51 Years","TN"
"51 Years","TN"
"35 Years","MS"
"78 Years","NC"
"38 Years","TN"
"47 Years","MD"
"27 Years","NC"
"32 Years","MS"
"29 Years","KY"
"28 Years","NC"
"52 Years","GA"
"70 Years","NC"
"49 Years","KY"
"52 Years","NY"
"56 Years","NY"
"38 Years","PA"
"79 Years","AL"
"43 Years","GA"
"64 Years","TN"
"49 Years","TN"
"45 Years","TN"
"39 Years","TN"
"37 Years","KY"
"27 Years","NY"
"76 Years","PA"
"34 Years","NY"
"67 Years","VA"
"44 Years","TN"
"31 Years","AL"
"17 Years","TN"
"63 Years","NY"
"31 Years","PA"
"56 Years","SC"
"23 Years","TN"
"29 Years","TN"
"24 Years","NC"
"34 Years","GA"
"24 Years","VA"
"26 Years","WV"
"13 Years","TN"
"17 Years","TN"
"48 Years","VA"
"51 Years","PA"
"22 Years","MD"
"52 Years","PA"
"5 Years","TN"
"55 Years","SC"
"48 Years","TN"
"45 Years","WV"
"48 Years","TN"
"17 Years","TN"
"25 Years","KY"
"40 Years","MD"
"32 Years","NY"
"53 Years","NY"
"37 Years","GA"
"64 Years","TN"
"25 Years","OH"
"33 Years","GA"
"29 Years","KY"
"26 Years","KY"
"23 Years","NC"
"27 Years","GA"
"30 Years","GA"
"38 Years","PA"
"60 Years","NC"
"26 Years","AL"
"53 Years","GA"
"28 Years","PA"
"31 Years","TN"
"52 Years","NC"
"67 Years","TN"
"24 Years","AL"
"29 Years","OH"
"20 Years","SC"
"60 Years","AL"
"48 Years","PA"
"32 Years","NY"
"35 Years","KY"
"40 Years","GA"
"37 Years","NY"
"39 Years","KY"
"35 Years","KY"
"37 Years","SC"
"38 Years","KY"
"30 Years","OH"
"26 Years","NC"
"34 Years","NC"
"76 Years","MD"
"35 Years","KY"
"19 Years","OH"
"53 Years","NC"
"39 Years","NY"
"29 Years","TN"
"29 Years","NC"
"60 Years","GA"
"17 Years","NY"
"15 Years","TN"
"14 Years","NY"
"45 Years","PA"
"15 Years","WV"
"43 Years","KY"
"46 Years","GA"
"39 Years","GA"
"31 Years","GA"
"69 Years","OH"
"51 Years","GA"
"26 Years","KY"
"24 Years","AL"
"48 Years","NY"
"69 Years","NY"
"30 Years","PA"
"40 Years","PA"
"39 Years","TN"
"40 Years","TN"
"45 Years","TN"
"46 Years","TN"
"51 Years","NC"
"27 Years","KY"
"35 Years","PA"
"56 Years","PA"
"24 Years","OH"
"27 Years","NY"
"58 Years","NY"
"58 Years","AL"
"37 Years","NY"
"81 Years","NY"
"17 Years","NY"
"35 Years","TN"
"45 Years","TN"
"60 Years","NC"
"28 Years","OH"
"36 Years","TN"
"30 Years","PA"
"75 Years","GA"
"17 Years","TN"
"66 Years","AL"
"47 Years","GA"
"18 Years","OH"
"34 Years","NC"
"17 Years","NY"
"31 Years","GA"
"17 Years","KY"
"61 Years","NY"
"16 Years","GA"
"14 Years","GA"
"16 Years","NY"
"67 Years","GA"
"43 Years","SC"
"38 Years","MS"
"34 Years","NY"
"51 Years","NY"
"20 Years","NC"
"19 Years","SC"
"37 Years","TN"
"18 Years","NY"
"34 Years","GA"
"76 Years","VA"
"17 Years","TN"
"16 Years","NY"
"17 Years","TN"
"22 Years","SC"
"29 Years","AL"
"16 Years","TN"
"42 Years","OH"
"71 Years","NC"
"20 Years","NC"
"33 Years","MS"
"62 Years","NY"
"62 Years","GA"
"15 Years","NC"
"63 Years","MS"
"36 Years","NC"
"47 Years","NC"
"47 Years","NC"
"62 Years","VA"
"42 Years","NC"
"57 Years","PA"
"52 Years","SC"
"44 Years","TN"
"30 Years","TN"
"27 Years","OH"
"25 Years","GA"
"27 Years","NY"
"56 Years","SC"
"54 Years","WV"
"77 Years","GA"
"25 Years","KY"
"15 Years","NY"
"41 Years","SC"
"22 Years","NC"
"46 Years","NY"
"42 Years","TN"
"63 Years","OH"
"38 Years","SC"
"35 Years","NC"
"34 Years","PA"
"54 Years","NC"
"53 Years","TN"
"31 Years","PA"
"38 Years","TN"
"49 Years","PA"
"16 Years","TN"
"36 Years","OH"
"45 Years","AL"
"50 Years","KY"
"17 Years","TN"
"58 Years","KY"
"67 Years","GA"
"43 Years","AL"
"25 Years","OH"
"26 Years","OH"
"14 Years","VA"
"50 Years","NY"
"47 Years","NY"
"59 Years","NY"
"44 Years","PA"
"34 Years","NY"
"23 Years","PA"
"53 Years","KY"
"18 Years","TN"
"23 Years","NC"
"45 Years","VA"
"34 Years","OH"
"8 Years","TN"
"27 Years","MS"
"41 Years","NC"
"36 Years","SC"
"14 Years","AL"
"42 Years","AL"
"57 Years","TN"
"31 Years","NY"
"24 Years","GA"
"17 Years","GA"
"46 Years","TN"
"44 Years","NC"
"79 Years","SC"
"45 Years","VA"
"78 Years","SC"
"54 Years","TN"
"3 Years","PA"
"22 Years","MD"
"39 Years","AL"
"56 Years","TN"
"34 Years","VA"
"< 1 Year","VA"
"4 Years","NY"
"3 Years","NY"
"56 Years","TN"
"1 Year","NY"
"31 Years","PA"
"47 Years","NC"
"74 Years","WV"
"31 Years","TN"
"24 Years","NY"
"31 Years","MS"
"24 Years","AL"
"33 Years","PA"
"43 Years","PA"
"28 Years","KY"
"38 Years","OH"
"49 Years","NC"
"16 Years","SC"
"54 Years","MD"
"44 Years","KY"
"58 Years","TN"
"65 Years","PA"
"16 Years","KY"
"24 Years","VA"
"15 Years","TN"
"61 Years","NC"
"31 Years","KY"
"18 Years","OH"
"68 Years","PA"
"66 Years","MD"
"23 Years","NY"
"14 Years","PA"
"47 Years","OH"
"60 Years","TN"
"32 Years","SC"
"47 Years","SC"
"39 Years","NY"
"58 Years","VA"
"80 Years","SC"
"71 Years","WV"
"15 Years","MD"
"33 Years","MD"
"23 Years","NY"
"27 Years","KY"
"26 Years","OH"
"72 Years","PA"
"26 Years","AL"
"55 Years","NY"
"43 Years","NY"
"52 Years","SC"
"52 Years","NY"
"57 Years","KY"
"15 Years","TN"
"36 Years","OH"
"32 Years","VA"
"38 Years","KY"
"49 Years","OH"
"15 Years","TN"
"29 Years","VA"
"40 Years","KY"
"79 Years","TN"
"30 Years","NY"
"60 Years","PA"
"34 Years","PA"
"49 Years","NC"
"36 Years","NY"
"48 Years","OH"
"32 Years","NY"
"15 Years","NY"
"20 Years","NY"
"37 Years","OH"
"32 Years","PA"
"28 Years","PA"
"16 Years","GA"
"52 Years","GA"
"93 Years","MS"
"36 Years","NC"
"22 Years","NC"
"37 Years","TN"
"45 Years","SC"
"67 Years","AL"
"20 Years","PA"
"30 Years","MD"
"25 Years","TN"
"53 Years","NY"
"17 Years","NC"
"21 Years","VA"
"42 Years","GA"
"54 Years","OH"
"16 Years","MS"
"58 Years","NY"
"14 Years","MS"
"20 Years","TN"
"54 Years","NY"
"48 Years","TN"
"19 Years","TN"
"20 Years","GA"
"33 Years","GA"
"15 Years","KY"
"49 Years","NY"
"31 Years","AL"
"60 Years","TN"
"33 Years","SC"
"37 Years","NY"
"3 Years","MD"
"34 Years","GA"
"16 Years","TN"
"21 Years","VA"
"15 Years","TN"
"30 Years","NY"
"51 Years","AL"
"50 Years","PA"
"42 Years","GA"
"37 Years","MS"
"40 Years","AL"
"30 Years","OH"
"37 Years","VA"
"31 Years","MS"
"26 Years","NC"
"22 Years","NC"
"34 Years","GA"
"27 Years","SC"
"44 Years","TN"
"27 Years","TN"
"37 Years","GA"
"38 Years","GA"
"51 Years","TN"
"31 Years","AL"
"58 Years","NC"
"62 Years","PA"
"32 Years","SC"
"23 Years","MD"
"17 Years","MD"
"44 Years","NC"
"16 Years","TN"
"32 Years","VA"
"29 Years","AL"
"48 Years","MS"
"30 Years","KY"
"75 Years","OH"
"25 Years","OH"
"48 Years","NC"
"30 Years","OH"
"60 Years","TN"
"44 Years","PA"
"69 Years","TN"
"68 Years","OH"
"30 Years","WV"
"16 Years","NC"
"73 Years","VA"
"27 Years","MS"
"63 Years","GA"
"21 Years","GA"
"54 Years","VA"
"43 Years","NC"
"29 Years","SC"
"45 Years","GA"
"16 Years","NY"
"32 Years","AL"
"29 Years","OH"
"41 Years","OH"
"22 Years","NY"
"20 Years","NY"
"33 Years","GA"
"19 Years","NC"
"40 Years","AL"
"44 Years","TN"
"34 Years","NY"
"16 Years","TN"
"36 Years","GA"
"14 Years","PA"
"21 Years","VA"
"51 Years","AL"
"23 Years","NC"
"31 Years","OH"
"36 Years","NY"
"30 Years","WV"
"80 Years","SC"
"16 Years","MD"
"70 Years","GA"
"22 Years","MS"
"44 Years","NC"
"41 Years","AL"
"30 Years","KY"
"58 Years","SC"
"63 Years","NY"
"34 Years","AL"
"57 Years","TN"
"34 Years","WV"
"39 Years","TN"
"16 Years","TN"
"39 Years","WV"
"29 Years","MS"
"17 Years","GA"
"58 Years","NY"
"55 Years","NY"
"17 Years","NC"
"34 Years","AL"
"26 Years","NY"
"19 Years","MD"
"24 Years","NY"
"35 Years","GA"
"34 Years","AL"
"32 Years","PA"
"29 Years","AL"
"22 Years","OH"
"66 Years","MD"
"23 Years","TN"
"29 Years","GA"
"35 Years","KY"
"57 Years","KY"
"17 Years","NY"
"21 Years","AL"
"44 Years","NY"
"48 Years","NC"
"26 Years","MS"
"30 Years","NC"
"76 Years","GA"
"30 Years","PA"
